b-day,b-month,b-year,g-day,g-month,g-year
1,1,172,21,3,2015
1,1,173,20,3,2016
1,1,174,20,3,2017
1,1,175,21,3,2018
1,1,176,21,3,2019
1,1,177,20,3,2020
1,1,178,20,3,2021
1,1,179,21,3,2022
1,1,180,21,3,2023
1,1,181,20,3,2024
1,1,182,20,3,2025
1,1,183,21,3,2026
1,1,184,21,3,2027
1,1,185,20,3,2028
1,1,186,20,3,2029
1,1,187,20,3,2030
1,1,188,21,3,2031
1,1,189,20,3,2032
1,1,190,20,3,2033
1,1,191,20,3,2034
1,1,192,21,3,2035
1,1,193,20,3,2036
1,1,194,20,3,2037
1,1,195,20,3,2038
1,1,196,21,3,2039
1,1,197,20,3,2040
1,1,198,20,3,2041
1,1,199,20,3,2042
1,1,200,21,3,2043
1,1,201,20,3,2044
1,1,202,20,3,2045
1,1,203,20,3,2046
1,1,204,21,3,2047
1,1,205,20,3,2048
1,1,206,20,3,2049
1,1,207,20,3,2050
1,1,208,21,3,2051
1,1,209,20,3,2052
1,1,210,20,3,2053
1,1,211,20,3,2054
1,1,212,21,3,2055
1,1,213,20,3,2056
1,1,214,20,3,2057
1,1,215,20,3,2058
1,1,216,20,3,2059
1,1,217,20,3,2060
1,1,218,20,3,2061
1,1,219,20,3,2062
1,1,220,20,3,2063
1,1,221,20,3,2064
