b-day,b-month,b-year,g-day,g-month,g-year
1,1,172,21,3,2015
1,2,172,9,4,2015
1,3,172,28,4,2015
1,4,172,17,5,2015
1,5,172,5,6,2015
1,6,172,24,6,2015
1,7,172,13,7,2015
1,8,172,1,8,2015
1,9,172,20,8,2015
1,10,172,8,9,2015
1,11,172,27,9,2015
1,12,172,16,10,2015
1,13,172,4,11,2015
1,14,172,23,11,2015
1,15,172,12,12,2015
1,16,172,31,12,2015
1,17,172,19,1,2016
1,18,172,7,2,2016
1,1,173,20,3,2016
1,2,173,8,4,2016
1,3,173,27,4,2016
1,4,173,16,5,2016
1,5,173,4,6,2016
1,6,173,23,6,2016
1,7,173,12,7,2016
1,8,173,31,7,2016
1,9,173,19,8,2016
1,10,173,7,9,2016
1,11,173,26,9,2016
1,12,173,15,10,2016
1,13,173,3,11,2016
1,14,173,22,11,2016
1,15,173,11,12,2016
1,16,173,30,12,2016
1,17,173,18,1,2017
1,18,173,6,2,2017
1,1,174,20,3,2017
1,2,174,8,4,2017
1,3,174,27,4,2017
1,4,174,16,5,2017
1,5,174,4,6,2017
1,6,174,23,6,2017
1,7,174,12,7,2017
1,8,174,31,7,2017
1,9,174,19,8,2017
1,10,174,7,9,2017
1,11,174,26,9,2017
1,12,174,15,10,2017
1,13,174,3,11,2017
1,14,174,22,11,2017
1,15,174,11,12,2017
1,16,174,30,12,2017
1,17,174,18,1,2018
1,18,174,6,2,2018
1,1,175,21,3,2018
1,2,175,9,4,2018
1,3,175,28,4,2018
1,4,175,17,5,2018
1,5,175,5,6,2018
1,6,175,24,6,2018
1,7,175,13,7,2018
1,8,175,1,8,2018
1,9,175,20,8,2018
1,10,175,8,9,2018
1,11,175,27,9,2018
1,12,175,16,10,2018
1,13,175,4,11,2018
1,14,175,23,11,2018
1,15,175,12,12,2018
1,16,175,31,12,2018
1,17,175,19,1,2019
1,18,175,7,2,2019
1,1,176,21,3,2019
1,2,176,9,4,2019
1,3,176,28,4,2019
1,4,176,17,5,2019
1,5,176,5,6,2019
1,6,176,24,6,2019
1,7,176,13,7,2019
1,8,176,1,8,2019
1,9,176,20,8,2019
1,10,176,8,9,2019
1,11,176,27,9,2019
1,12,176,16,10,2019
1,13,176,4,11,2019
1,14,176,23,11,2019
1,15,176,12,12,2019
1,16,176,31,12,2019
1,17,176,19,1,2020
1,18,176,7,2,2020
1,1,177,20,3,2020
1,2,177,8,4,2020
1,3,177,27,4,2020
1,4,177,16,5,2020
1,5,177,4,6,2020
1,6,177,23,6,2020
1,7,177,12,7,2020
1,8,177,31,7,2020
1,9,177,19,8,2020
1,10,177,7,9,2020
1,11,177,26,9,2020
1,12,177,15,10,2020
1,13,177,3,11,2020
1,14,177,22,11,2020
1,15,177,11,12,2020
1,16,177,30,12,2020
1,17,177,18,1,2021
1,18,177,6,2,2021
1,1,178,20,3,2021
1,2,178,8,4,2021
1,3,178,27,4,2021
1,4,178,16,5,2021
1,5,178,4,6,2021
1,6,178,23,6,2021
1,7,178,12,7,2021
1,8,178,31,7,2021
1,9,178,19,8,2021
1,10,178,7,9,2021
1,11,178,26,9,2021
1,12,178,15,10,2021
1,13,178,3,11,2021
1,14,178,22,11,2021
1,15,178,11,12,2021
1,16,178,30,12,2021
1,17,178,18,1,2022
1,18,178,6,2,2022
1,1,179,21,3,2022
1,2,179,9,4,2022
1,3,179,28,4,2022
1,4,179,17,5,2022
1,5,179,5,6,2022
1,6,179,24,6,2022
1,7,179,13,7,2022
